,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
2020-08-07 12:30:00,86.601,86.93,86.57,86.579,1200,False,False,86.579,86.579,86.579,
2020-08-07 12:45:00,86.579,86.669,86.579,86.649,424,False,False,86.60233333333333,86.58038613861386,86.57927944111776,3.2275854164875994e-06
2020-08-07 13:00:00,86.72,86.72,86.601,86.62,1100,False,False,86.60822222222222,86.58117057151259,86.57944199823905,1.877552254336834e-06
2020-08-07 13:15:00,86.474,86.67,86.471,86.669,1101,False,False,86.62848148148149,86.5829097681163,86.57979951521214,4.129351782067303e-06
2020-08-07 13:30:00,86.665,87.275,86.06,86.75,83902,False,False,86.668987654321,86.58621848557934,86.58047895826519,7.847593282095389e-06
2020-08-07 13:45:00,86.74,86.79,86.22,86.7,83318,False,False,86.67932510288068,86.5884715848748,86.58095608817231,5.510825452414991e-06
2020-08-07 14:00:00,86.67,86.69,85.855,85.9,67705,False,False,86.41955006858713,86.5748384841842,86.57823770059478,-3.13970612054737e-05
2020-08-07 14:15:00,85.88,86.15,85.66,85.95,59630,False,False,86.2630333790581,86.56246544489342,86.57572976566226,-2.896726705381436e-05
2020-08-07 14:30:00,85.94,86.28,85.81,85.81,34677,False,False,86.1120222527054,86.54756513905394,86.57267296021051,-3.530787970285054e-05
2020-08-07 14:45:00,85.81,86.4,85.75,86.335,37364,False,False,86.18634816847026,86.54335592837961,86.57172416595817,-1.095951204799217e-05
2020-08-07 15:00:00,86.27,86.281,85.95,85.95,24992,False,False,86.10756544564686,86.53160630603546,86.56924223315993,-2.866909284937602e-05
2020-08-07 15:15:00,85.93,85.93,85.33,85.34,36911,False,False,85.85171029709791,86.5080101415595,86.56433507853653,-5.668473578845923e-05
2020-08-07 15:30:00,85.4,86.12,85.4,85.98,40011,False,False,85.89447353139862,86.49755449519198,86.56200240357232,-2.6947298354396132e-05
2020-08-07 15:45:00,85.95,86.08,85.57,85.575,33846,False,False,85.78798235426575,86.47928608934659,86.55806227421675,-4.551800150376373e-05
2020-08-07 16:00:00,85.58,85.77,85.46,85.77,36226,False,False,85.78198823617717,86.46524082025061,86.55491631703426,-3.634505093852436e-05
2020-08-07 16:15:00,85.78,85.825,85.615,85.715,30128,False,False,85.75965882411812,86.45038456638426,86.55156335768481,-3.8737942246513946e-05
2020-08-07 16:30:00,85.67,85.73,85.35,85.35,34544,False,False,85.62310588274542,86.42859477299051,86.5467666975743,-5.54196819148034e-05
2020-08-07 16:45:00,85.335,85.34,84.44,84.46,74642,False,False,85.23540392183028,86.38961269827783,86.53843629159596,-9.62532315903486e-05
