,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
0,1,2,3,4,2020-09-16 18:57:00,47.92,47.96,47.62,47.62,379,False,False,47.62,47.62,47.62,
1,2,3,4,5,2020-09-16 18:58:00,47.86,47.86,47.86,47.86,229,False,False,47.7,47.624752475247526,47.62095808383234,2.0119358091985614e-05
2,3,4,5,6,2020-09-16 18:59:00,48.07,48.111999999999995,48.07,48.111999999999995,910,False,False,47.83733333333333,47.6344009410842,47.62291833100266,4.1163539105548714e-05
3,4,5,6,7,2020-09-16 19:00:00,48.245,48.245,48.19,48.19,300,False,False,47.954888888888895,47.64540290264689,47.625182130080496,4.753591667983059e-05
4,5,6,7,8,2020-09-16 19:02:00,48.185,48.185,48.12,48.12,212,False,False,48.009925925925934,47.65480086497071,47.6271574509185,4.147639441276496e-05
5,6,7,8,9,2020-09-16 19:05:00,48.05,48.05,47.94,48.04,683,False,False,48.01995061728395,47.66242857061485,47.62880552496673,3.4603661785315154e-05
6,7,8,9,2020-09-16 19:10:00,,47.91,47.91,47.9,47.9,290,False,False,47.9799670781893,47.66713295535515,47.62988813764151,2.273020838639006e-05
7,8,9,2020-09-16 19:13:00,,,47.97,47.97,47.93,47.93,200,True,False,47.96331138545954,47.67233824336792,47.63108618898825,2.515335209851699e-05
8,9,2020-09-16 19:20:00,,,,48.44,48.44,48.44,48.44,120,True,False,48.12220759030636,47.687539466271524,47.634315385838605,6.779599435402517e-05
9,2020-09-16 19:24:00,,,,,48.42,48.42,48.315,48.315,420,True,False,48.1864717268709,47.69996442733545,47.63703268968754,5.704509085391331e-05
