,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
2020-08-06 19:15:00,13.79,13.81,13.69,13.72,109876,False,False,13.72,13.72,13.72,
2020-08-06 19:30:00,13.72,13.78,13.7,13.78,143820,False,False,13.740000000000002,13.721188118811881,13.720239520958083,1.7457795778552665e-05
2020-08-06 19:45:00,13.77,13.8,13.74,13.78,405924,False,False,13.753333333333334,13.722352710518576,13.720478085744677,1.738780042637167e-05
2020-08-06 20:00:00,13.73,13.73,13.73,13.73,260,False,False,13.745555555555557,13.722504141993456,13.72051609737843,2.7704307032916375e-06
2020-08-07 12:15:00,13.59,13.59,13.59,13.59,200,False,False,13.693703703703704,13.719880297597546,13.719995075033605,-3.797396111981932e-05
2020-08-07 12:30:00,13.34,13.699,13.34,13.699,400,False,False,13.69546913580247,13.71946682635799,13.71991126235882,-6.10879773099704e-06
2020-08-07 13:00:00,13.63,13.63,13.63,13.63,200,False,False,13.673646090534982,13.71769520603407,13.719552335163776,-2.6161043477634927e-05
2020-08-07 13:15:00,13.64,13.649,13.64,13.649,400,False,False,13.66543072702332,13.716334904924485,13.719270689115218,-2.0528807476938304e-05
2020-08-07 13:30:00,13.605,13.69,13.335,13.49,176370,False,False,13.606953818015548,13.71185302561905,13.718355436863263,-6.671289405213443e-05
2020-08-07 13:45:00,13.52,13.65,13.44,13.61,116278,False,False,13.607969212010367,13.709836134022632,13.717922880229079,-3.153123099741695e-05
2020-08-07 14:00:00,13.63,13.67,13.55,13.67,73562,False,False,13.628646141340246,13.709047299685551,13.717731571325968,-1.3945908923673755e-05
2020-08-07 14:15:00,13.68,13.91,13.65,13.89,93310,False,False,13.71576409422683,13.712630521473956,13.718419269644029,5.013207282011933e-05
2020-08-07 14:30:00,13.91,13.975,13.84,13.96,171402,False,False,13.79717606281789,13.717528926989324,13.719383663777187,7.029921700185682e-05
2020-08-07 14:45:00,13.97,14.07,13.92,13.96,289260,False,False,13.851450708545261,13.722330334375673,13.720344208033566,7.001365949954597e-05
2020-08-07 15:00:00,13.99,14.05,13.95,13.99,42970,False,False,13.897633805696842,13.727630723793977,13.721420678260978,7.845796075445222e-05
2020-08-07 15:15:00,13.97,13.97,13.86,13.89,73162,False,False,13.895089203797895,13.730845956986176,13.722093649605245,4.904531098093301e-05
2020-08-07 15:30:00,13.88,13.95,13.83,13.92,71086,False,False,13.903392802531929,13.734591581600311,13.722883694916202,5.757469167111395e-05
2020-08-07 15:45:00,13.92,13.92,13.81,13.81,76322,False,False,13.87226186835462,13.736084817608225,13.723231464597177,2.5342317890864052e-05
2020-08-07 16:00:00,13.8,13.94,13.8,13.94,51190,False,False,13.894841245569747,13.740122742012021,13.724096808051879,6.305682862928208e-05
2020-08-07 16:15:00,13.93,14.11,13.91,14.11,45850,False,False,13.966560830379832,13.747447044150398,13.725637339756263,0.00011225013390170346
2020-08-07 16:30:00,14.115,14.115,13.99,14.01,60008,False,False,13.981040553586556,13.752646112583063,13.726772520036677,8.270510522123686e-05
2020-08-07 16:45:00,14.01,14.05,13.97,14.01,30548,False,False,13.990693702391038,13.757742229165576,13.727903168659285,8.23681328554482e-05
2020-08-07 17:00:00,14.02,14.04,13.97,14.0,26642,False,False,13.993795801594025,13.762539412746456,13.728989383554858,7.912460353387551e-05
2020-08-07 17:15:00,14.01,14.1,14.0,14.04,26584,False,False,14.009197201062685,13.768033681800981,13.730230942901944,9.043341154990614e-05
2020-08-07 17:30:00,14.04,14.07,14.0,14.04,20088,False,False,14.019464800708457,13.773419153448486,13.731467545924291,9.006425510893479e-05
2020-08-07 17:45:00,14.04,14.04,13.975,14.01,45854,False,False,14.016309867138972,13.77810392268713,13.732579451928585,8.097503056947453e-05
2020-08-07 18:00:00,14.02,14.05,13.98,14.05,66152,False,False,14.027539911425983,13.783488003425997,13.733846599825078,9.227311598158927e-05
2020-08-07 18:15:00,14.04,14.11,14.04,14.11,41752,False,False,14.055026607617323,13.789953587516573,13.735348210205018,0.0001093364753295134
2020-08-07 18:30:00,14.11,14.18,14.07,14.15,49604,False,False,14.086684405078216,13.797083219446938,13.737003506771066,0.00012051362227705198
2020-08-07 18:45:00,14.125,14.16,14.11,14.15,109828,False,False,14.107789603385479,13.804071670547,13.73865219536679,0.00012001806616068755
2020-08-07 19:00:00,14.15,14.22,14.11,14.14,92796,False,False,14.118526402256986,13.810723716674781,13.740254382211633,0.00011661892462666579
2020-08-07 19:15:00,14.15,14.27,14.15,14.22,104834,False,False,14.152350934837992,13.818828197532705,13.742169534378453,0.00013938258445200802
2020-08-07 19:30:00,14.21,14.28,14.21,14.28,182378,False,False,14.19490062322533,13.827960312433047,13.744316562185325,0.00015623645171181089
2020-08-07 19:45:00,14.28,14.32,14.21,14.22,421064,False,False,14.203267082150221,13.835723474563085,13.746215498064824,0.00013816153541768017
2020-08-10 11:00:00,14.22,14.24,14.22,14.24,400,False,False,14.215511388100149,13.843728950314311,13.748186693681333,0.0001433991498813736
2020-08-10 11:15:00,14.28,14.28,14.28,14.28,200,False,False,14.237007592066767,13.852367981001157,13.750309700892187,0.00015442088896189254
2020-08-10 11:30:00,14.31,14.33,14.31,14.33,400,False,False,14.268005061377846,13.861826040783312,13.752623833822758,0.00016829678610230658
2020-08-10 12:00:00,14.21,14.21,14.21,14.21,600,False,False,14.248670040918565,13.868720574629187,13.75444968678155,0.00013276397150496777
2020-08-10 13:15:00,14.31,14.31,14.31,14.31,200,False,False,14.269113360612378,13.877458781072173,13.756667452502981,0.00016123987305438625
2020-08-10 13:30:00,14.37,14.78,14.34,14.605,224342,False,False,14.381075573741587,13.891865537882627,13.760054009578816,0.0002461756880820509
2020-08-10 13:45:00,14.605,14.86,14.54,14.805,88004,False,False,14.522383715827726,13.909947408419603,13.764225450658342,0.0003031558652766275
2020-08-10 14:00:00,14.825,15.045,14.75,15.035,140132,False,False,14.693255810551818,13.932225677559808,13.769298402951124,0.0003685606800736263
2020-08-10 14:15:00,15.02,15.3,15.005,15.28,238824,False,False,14.888837207034545,13.958914278004169,13.775329147849522,0.000437984908301825
2020-08-10 14:30:00,15.29,15.43,15.22,15.28,152840,False,False,15.019224804689696,13.985074391311016,13.781335817917986,0.0004360454842127215
2020-08-10 14:45:00,15.27,15.28,14.96,15.03,357480,False,False,15.022816536459798,14.00576598752268,13.786320505271608,0.00036169841730004926
2020-08-10 15:00:00,15.03,15.14,14.955,15.11,47694,False,False,15.0518776909732,14.027632007571738,13.791604654951161,0.0003832893394239978
