,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
2020-08-03 14:30:00,6.625,6.685,6.625,6.655,512132,False,False,6.655,6.655,6.655,
2020-08-03 14:45:00,6.65,6.655,6.61,6.625,300968,False,False,6.6450000000000005,6.654405940594059,6.654880239520959,-1.7995564093320482e-05
2020-08-03 15:00:00,6.625,6.65,6.62,6.64,335292,False,False,6.6433333333333335,6.654120674443682,6.654820837367183,-8.926104097750631e-06
2020-08-03 15:15:00,6.64,6.655,6.63,6.63,229006,False,False,6.638888888888889,6.653643037325985,6.654721752188072,-1.4889233163728477e-05
2020-08-03 15:30:00,6.64,6.675,6.63,6.67,240472,False,False,6.64925925925926,6.653966937576955,6.654782743197302,9.165072786032624e-06
2020-08-03 15:45:00,6.67,6.675,6.65,6.665,173948,False,False,6.654506172839508,6.65418541406058,6.654823530649608,6.129043408353851e-06
2020-08-03 16:00:00,6.67,6.68,6.65,6.68,172364,False,False,6.663004115226339,6.654696593980172,6.654924035517274,1.510255939951577e-05
2020-08-03 16:15:00,6.68,6.68,6.65,6.65,327058,False,False,6.658669410150893,6.654603592119178,6.654904378688862,-2.9537269407020617e-06
2020-08-03 16:30:00,6.65,6.7,6.65,6.69,140996,False,False,6.669112940100597,6.655304511087115,6.655044480969545,2.1052485912775865e-05
2020-08-03 16:45:00,6.69,6.7,6.685,6.69,191850,False,False,6.676075293400398,6.655991550471528,6.655184023959687,2.0968002624188742e-05
2020-08-03 17:00:00,6.69,6.695,6.66,6.66,181736,False,False,6.670716862266932,6.656070925709716,6.655203249412941,2.8887936358579225e-06
2020-08-03 17:15:00,6.665,6.69,6.66,6.69,147232,False,False,6.677144574844622,6.656742788566949,6.6553421585969215,2.087226772418127e-05
2020-08-03 17:30:00,6.69,6.7,6.68,6.69,236246,False,False,6.681429716563082,6.657401347209187,6.655480513253221,2.0788511394753684e-05
2020-08-03 17:45:00,6.69,6.7,6.68,6.69,125110,False,False,6.6842864777087225,6.658046865086233,6.6556183155955235,2.0705092897310706e-05
2020-08-03 18:00:00,6.7,6.7,6.675,6.69,274690,False,False,6.686190985139149,6.658679600431059,6.655755567828675,2.0622010854953743e-05
2020-08-03 18:15:00,6.695,6.7,6.69,6.69,122740,False,False,6.687460656759432,6.659299806363117,6.65589227214872,2.053926389766758e-05
2020-08-03 18:30:00,6.69,6.71,6.69,6.71,192480,False,False,6.694973771172955,6.66030377059355,6.6561082710622985,3.245228509518583e-05
2020-08-03 18:45:00,6.71,6.71,6.69,6.71,157840,False,False,6.6999825141153035,6.661287854344172,6.656323407704765,3.2321686142200434e-05
2020-08-03 19:00:00,6.71,6.72,6.7,6.715,246772,False,False,6.704988342743536,6.662351461188842,6.656557645598159,3.519028133802671e-05
2020-08-03 19:15:00,6.715,6.72,6.67,6.67,434808,False,False,6.693325561829024,6.662502917402924,6.65661130769158,8.06153815191557e-06
2020-08-03 19:30:00,6.67,6.685,6.65,6.675,358872,False,False,6.687217041219349,6.662750384385045,6.656684715644907,1.1027826311904576e-05
2020-08-03 19:45:00,6.68,6.7,6.67,6.7,1292356,False,False,6.691478027479567,6.6634880005358355,6.656857630951714,2.597618997945972e-05
2020-08-03 20:30:00,6.68,6.68,6.68,6.68,600,False,False,6.687652018319712,6.663814970822255,6.656950015658493,1.3878125671551444e-05
2020-08-04 13:00:00,6.64,6.951,6.64,6.91,19638,False,False,6.7617680122131425,6.668689921895081,6.657960195236703,0.0001517481092443429
2020-08-04 13:15:00,6.85,6.96,6.85,6.96,24796,False,False,6.827845341475429,6.674458438293198,6.659165942960309,0.00018109866809767894
2020-08-04 13:30:00,6.91,6.91,6.83,6.89,487262,False,False,6.848563560983619,6.678726588029965,6.660087436201984,0.0001383796784113489
2020-08-04 13:45:00,6.89,6.91,6.84,6.845,286758,False,False,6.847375707322413,6.682019130841253,6.660825610109361,0.00011083546791978982
2020-08-04 14:00:00,6.845,6.855,6.8,6.82,464000,False,False,6.8382504715482755,6.68475142528004,6.661461036815512,9.539758932985976e-05
2020-08-04 14:15:00,6.825,6.85,6.81,6.81,508520,False,False,6.8288336476988505,6.687231595076474,6.662054006728424,8.901499380331579e-05
2020-08-04 14:30:00,6.81,6.82,6.79,6.815,319528,False,False,6.824222431799234,6.689761662500702,6.662664569575816,9.164783815540645e-05
2020-08-04 14:45:00,6.81,6.82,6.78,6.8,264884,False,False,6.816148287866157,6.691944599876926,6.66321281480705,8.228618227867912e-05
2020-08-04 15:00:00,6.8,6.8,6.77,6.79,193534,False,False,6.807432191910772,6.6938862909684715,6.663718951274887,7.595982327202044e-05
2020-08-04 15:15:00,6.79,6.79,6.77,6.78,191166,False,False,6.798288127940515,6.695591512929492,6.66418314707818,6.966017124798718e-05
2020-08-04 15:30:00,6.775,6.79,6.77,6.785,168760,False,False,6.793858751960344,6.697361978019997,6.6646654498842555,7.237238164536919e-05
2020-08-04 15:45:00,6.78,6.79,6.78,6.785,66934,False,False,6.79090583464023,6.699097384395839,6.665145827329828,7.207825346733365e-05
2020-08-04 16:00:00,6.785,6.79,6.735,6.75,157992,False,False,6.777270556426821,6.70010535698206,6.665484566542084,5.082247576138066e-05
2020-08-04 16:15:00,6.75,6.76,6.75,6.76,75782,False,False,6.771513704284548,6.701291389517069,6.665861873661676,5.660610505131558e-05
2020-08-04 16:30:00,6.76,6.785,6.74,6.77,361304,False,False,6.771009136189699,6.702651956061285,6.666277594724902,6.236568820439103e-05
2020-08-04 16:45:00,6.77,6.785,6.76,6.77,187794,False,False,6.770672757459799,6.703985580693734,6.666691656223006,6.211284967050368e-05
2020-08-04 17:00:00,6.77,6.78,6.76,6.78,166052,False,False,6.773781838306533,6.705490816719601,6.667143984940679,6.784905332324342e-05
2020-08-04 17:15:00,6.775,6.8,6.775,6.795,116898,False,False,6.780854558871022,6.70726327579446,6.667654388194408,7.65550068937415e-05
2020-08-04 17:30:00,6.795,6.82,6.79,6.79,265310,False,False,6.783903039247349,6.708901626768827,6.668142793830358,7.3249992803337e-05
2020-08-04 17:45:00,6.79,6.8,6.79,6.79,109966,False,False,6.785935359498232,6.710507535149642,6.668629249743212,7.295223391201588e-05
2020-08-04 18:00:00,6.79,6.8,6.79,6.8,137300,False,False,6.790623572998822,6.7122796631664805,6.669153683875973,7.864196870466245e-05
2020-08-04 18:15:00,6.8,6.82,6.795,6.815,148414,False,False,6.798749048665882,6.7143137292423924,6.6697359046988245,8.730055573002993e-05
2020-08-04 18:30:00,6.81,6.815,6.775,6.8,353750,False,False,6.799166032443922,6.716010487079177,6.670255921047332,7.79665575876276e-05
2020-08-04 18:45:00,6.8,6.83,6.8,6.83,176206,False,False,6.8094440216292815,6.7182677051568165,6.670893621961315,9.560366521643715e-05
2020-08-04 19:00:00,6.83,6.84,6.81,6.825,329966,False,False,6.814629347752854,6.72038121594579,6.671508817083225,9.222079630899493e-05
2020-08-04 19:15:00,6.83,6.86,6.825,6.855,163952,False,False,6.828086231835237,6.723046934441913,6.672241316815428,0.00010979521308995821
