,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
0,1,2,3,4,2020-09-16 19:00:00,264.34,264.72,264.34,264.72,1254,False,False,264.72,264.72,264.72,
1,2,3,4,5,2020-09-16 19:01:00,264.75,264.79,264.62,264.75,1672,False,False,264.73,264.72059405940604,264.72011976047907,4.524043482057039e-07
2,3,4,5,6,2020-09-16 19:02:00,264.54,264.63,264.42,264.57,3328,False,False,264.67666666666673,264.7176119988237,264.71952047999815,-2.2638267217489627e-06
3,4,5,6,7,2020-09-16 19:03:00,264.57,264.605,264.2,264.2,2041,False,False,264.51777777777784,264.7073622562727,264.7174465459463,-7.834458328193072e-06
4,5,6,7,8,2020-09-16 19:04:00,264.395,264.47,264.32,264.32,2544,False,False,264.45185185185187,264.69969171654446,264.71585993298845,-5.993609331622629e-06
5,6,7,8,9,2020-09-16 19:05:00,264.235,264.235,263.98,263.99,3531,False,False,264.2979012345679,264.68563841522666,264.71296228854544,-1.0946244187293177e-05
6,7,8,9,2020-09-16 19:10:00,,264.04,264.04,263.44,263.44,1311,False,False,264.01193415637863,264.6609723079945,264.70788060276277,-1.9196966173029573e-05
7,8,9,2020-09-16 19:15:00,,,263.59,263.59,263.29,263.45,1396,False,False,263.82462277091906,264.63699265833117,264.70285912331065,-1.896989028316032e-05
8,9,2020-09-16 19:20:00,,,,263.86,263.86,263.62,263.86,1212,False,False,263.83641518061273,264.6216066650969,264.6994944162316,-1.2711260808484505e-05
9,2020-09-16 19:24:00,,,,,263.63,263.63,263.63,263.63,412,False,False,263.7676101204085,264.60197088955044,264.6952249774442,-1.6129380212115407e-05
