,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
0,1,2,3,4,2020-09-16 19:00:00,4.65,4.65,4.645,4.65,15398,False,False,4.65,4.65,4.65,
1,2,3,4,5,2020-09-16 19:01:00,4.65,4.65,4.64,4.645,5891,False,False,4.648333333333333,4.64990099009901,4.64998003992016,-4.292490288326789e-06
2,3,4,5,6,2020-09-16 19:02:00,4.63,4.64,4.62,4.625,16375,False,False,4.640555555555556,4.649407901186158,4.649880319201916,-2.1445407805575908e-05
3,4,5,6,7,2020-09-16 19:03:00,4.62,4.62,4.61,4.62,15725,False,False,4.633703703703704,4.6488255665092035,4.649761036490531,-2.565285624500646e-05
4,5,6,7,8,2020-09-16 19:04:00,4.62,4.62,4.615,4.62,6101,False,False,4.629135802469137,4.648254763211993,4.649642229957635,-2.555110509205871e-05
5,6,7,8,9,2020-09-16 19:05:00,4.62,4.62,4.6,4.6,5803,False,False,4.619423868312758,4.647299223346409,4.649444057382954,-4.262103724972377e-05
6,7,8,9,2020-09-16 19:10:00,,4.57,4.57,4.55,4.55,6118,False,False,4.596282578875172,4.6453725060524205,4.649047075117952,-8.538273825919873e-05
7,8,9,2020-09-16 19:15:00,,,4.56,4.57,4.545,4.57,21377,False,False,4.587521719250115,4.643879981180095,4.648731517931854,-6.787567021815377e-05
8,9,2020-09-16 19:20:00,,,,4.58,4.58,4.57,4.58,8623,False,False,4.585014479500077,4.642615031057717,4.64845714061476,-5.902197535712084e-05
9,2020-09-16 19:24:00,,,,,4.57,4.57,4.56,4.56,2431,False,False,4.576676319666718,4.640979089848653,4.648104018296936,-7.596548857846662e-05
