,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
2020-08-10 11:45:00,211.051,211.15,211.051,211.15,300,False,False,211.15,211.15,211.15,
2020-08-10 12:00:00,211.508,211.546,211.4,211.4,550,False,False,211.23333333333335,211.1549504950495,211.15099800399204,4.726516656505808e-06
2020-08-10 12:30:00,211.06,211.149,211.06,211.104,485,False,False,211.19022222222225,211.15394157435543,211.15081038720965,-8.885431950211853e-07
2020-08-10 13:00:00,211.4,211.4,211.4,211.4,100,False,False,211.26014814814818,211.1588140184276,211.151805156123,4.711177340688266e-06
2020-08-10 13:30:00,211.42,211.42,208.795,209.805,150427,False,False,210.77509876543215,211.13200582004288,211.1464286884339,-2.5462570330092582e-05
2020-08-10 13:45:00,209.76,209.8,208.69,208.85,66118,False,False,210.13339917695475,211.0868175859826,211.13726130844015,-4.3417168126835826e-05
2020-08-10 14:00:00,208.885,209.065,208.27,208.79,60798,False,False,209.68559945130318,211.0413360496265,211.12789100381565,-4.438015614305346e-05
2020-08-10 14:15:00,208.83,208.935,208.375,208.695,10152,False,False,209.35539963420214,210.9948739496339,211.11817886407985,-4.600121608577812e-05
2020-08-10 14:30:00,208.68,208.69,207.96,207.98,29334,False,False,208.8969330894681,210.93517347538372,211.1056512039438,-5.933956139381191e-05
2020-08-10 14:45:00,207.86,207.87,206.79,206.79,36320,False,False,208.19462205964538,210.85309083230683,211.08842305542507,-8.160912993326885e-05
2020-08-10 15:00:00,206.76,207.62,206.39,207.34,58018,False,False,207.9097480397636,210.78352467721163,211.07345929073276,-7.08886090280414e-05
2020-08-10 15:15:00,207.41,208.06,207.07,208.06,42382,False,False,207.95983202650908,210.72959349548466,211.06142951312503,-5.6993321889686754e-05
2020-08-10 15:30:00,208.095,208.095,207.22,207.26,54663,False,False,207.72655468433942,210.6608886737919,211.04625414580715,-7.190023943681734e-05
2020-08-10 15:45:00,207.23,208.01,206.47,207.0,35173,False,False,207.48436978955962,210.58839582876632,211.03010143464624,-7.65363556263221e-05
2020-08-10 16:00:00,207.03,207.34,206.78,207.225,40194,False,False,207.39791319303976,210.52179393116697,211.01491140895902,-7.198037428757242e-05
2020-08-10 16:15:00,207.31,207.39,206.86,206.885,22291,False,False,207.22694212869317,210.4497782097577,210.99842473666774,-7.813036614900959e-05
2020-08-10 16:30:00,206.895,207.72,206.87,207.72,44635,False,False,207.3912947524621,210.3957231957031,210.98533721276888,-6.202664268795122e-05
2020-08-10 16:45:00,207.7,208.18,207.7,207.78,22482,False,False,207.52086316830807,210.3439266967783,210.9725414554325,-6.064761421542553e-05
