,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
2020-09-16 15:39:00,50.8,50.8,50.8,50.8,179,False,False,50.8,50.8,50.8,
2020-09-16 15:40:00,50.83,50.83,50.8,50.8,1315,False,False,50.8,50.8,50.8,0.0
2020-09-16 15:41:00,50.805,50.81,50.8,50.8,805,False,False,50.8,50.8,50.8,0.0
2020-09-16 15:42:00,50.775,50.775,50.775,50.775,333,False,False,50.791666666666664,50.79950495049505,50.7999001996008,-1.9645747874053043e-06
2020-09-16 15:43:00,50.79,50.79,50.75,50.75,586,False,False,50.77777777777778,50.79852465444564,50.79970099720718,-3.921314664645514e-06
2020-09-16 15:44:00,50.73,50.73,50.69,50.705,1143,False,False,50.75351851851852,50.796672681090286,50.799322949314146,-7.441931460516749e-06
2020-09-16 15:45:00,50.73,50.745,50.725,50.735,2940,False,False,50.747345679012355,50.79545143988058,50.79906617107337,-5.0547571476267095e-06
2020-09-16 15:46:00,50.74,50.74,50.735,50.74,397,False,False,50.74489711934157,50.794353391566105,50.79883037797527,-4.6416817448546865e-06
2020-09-16 15:47:00,50.69,50.69,50.66,50.685,1560,False,False,50.72493141289439,50.79218797787173,50.79837596528874,-8.945337582555446e-06
2020-09-16 15:48:00,50.68,50.695,50.68,50.695,1751,False,False,50.71495427526293,50.79026346345843,50.797963286784594,-8.123852314301239e-06
