,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
2020-08-07 16:45:00,37.17,37.19,36.92,36.92,5337,False,False,36.92,36.92,36.92,
2020-08-07 17:00:00,36.87,36.925,36.15,36.17,9782,False,False,36.67,36.90514851485148,36.91700598802396,-8.109458223304333e-05
2020-08-07 17:15:00,36.16,36.44,36.16,36.44,9680,False,False,36.593333333333334,36.89593765317126,36.91510177250291,-5.158098470037231e-05
2020-08-07 17:30:00,36.54,36.665,36.43,36.62,4373,False,False,36.602222222222224,36.89047354122727,36.91392372151487,-3.191244047751063e-05
2020-08-07 17:45:00,36.58,36.73,36.51,36.68,3773,False,False,36.628148148148156,36.88630574833168,36.91298989428328,-2.529742540069435e-05
2020-08-07 18:00:00,36.7,36.8,36.62,36.62,4055,False,False,36.62543209876544,36.881032367176594,36.911820273946816,-3.16858737211545e-05
2020-08-07 18:15:00,36.65,36.65,36.26,36.3,9568,False,False,36.51695473251029,36.86952677574735,36.909377877643635,-6.61684058129719e-05
2020-08-07 18:30:00,36.25,36.35,36.22,36.35,7711,False,False,36.46130315500686,36.85923911682166,36.9071448322239,-6.050076018992989e-05
2020-08-07 18:45:00,36.35,36.405,36.3,36.3,5437,False,False,36.40753543667124,36.8481650749044,36.904721100358735,-6.56710746979039e-05
2020-08-07 19:00:00,36.35,36.355,36.255,36.265,9035,False,False,36.36002362444749,36.83661725163897,36.902167323510994,-6.919919109527051e-05
2020-08-07 19:15:00,36.3,36.34,36.28,36.33,10486,False,False,36.350015749631666,36.826585226854036,36.899883222419135,-6.189612311480186e-05
2020-08-07 19:30:00,36.34,36.54,36.1,36.5,13494,False,False,36.400010499754444,36.82011819265891,36.898286882209874,-4.326138919297229e-05
2020-08-07 19:45:00,36.59,36.69,36.47,36.69,16510,False,False,36.496673666502964,36.81754159478447,36.897455397650155,-2.253450308875582e-05
2020-08-10 12:45:00,39.5,40.79,39.14,39.73,8958,False,False,37.57444911100198,36.8752140384521,36.90876296093299,0.00030645916258920103
2020-08-10 13:00:00,40.28,42.1,39.98,41.48,3998,False,False,38.876299407334656,36.96639791887879,36.92701141218675,0.000494420560046338
2020-08-10 13:15:00,41.98,42.02,41.47,41.57,2772,False,False,39.77419960488977,37.057558356128716,36.94554629676884,0.0005019329719158083
2020-08-10 13:30:00,41.57,44.79,40.67,42.12,214134,False,False,40.55613306992652,37.157804725314286,36.966202798578145,0.0005591066821255541
2020-08-10 13:45:00,42.04,42.63,40.73,41.164,110918,False,False,40.75875537995101,37.23713532481301,36.982960472036915,0.00045332417695376215
2020-08-10 14:00:00,41.164,41.88,40.57,41.43,50502,False,False,40.98250358663401,37.32016234808404,37.00071312484315,0.000480022490888965
2020-08-10 14:15:00,41.35,41.37,40.26,40.95,42893,False,False,40.97166905775601,37.39204032138931,37.01647874111124,0.0004260895246774865
2020-08-10 14:30:00,41.0,41.9,40.7,41.51,26082,False,False,41.151112705170675,37.4735840774014,37.03441694972956,0.0004846006218952592
2020-08-10 14:45:00,41.576,41.576,40.65,41.1,20855,False,False,41.13407513678045,37.54539429369048,37.05064682218573,0.0004382375582745457
2020-08-10 15:00:00,41.15,41.245,40.79,41.2,14104,False,False,41.15605009118697,37.61776272351839,37.067211106328706,0.0004470713891304712
2020-08-10 15:15:00,41.2,41.2,40.87,40.89,6822,False,False,41.06736672745798,37.682559501270504,37.08247174063477,0.00041170171293147817
2020-08-10 15:30:00,40.97,41.22,40.91,41.22,11450,False,False,41.11824448497199,37.75260782797802,37.098988819514474,0.000445414723032167
2020-08-10 15:45:00,41.25,41.55,41.11,41.36,14741,False,False,41.198829656647995,37.824041336334886,37.115998844187075,0.0004585037278335147
2020-08-10 16:00:00,41.36,42.14,41.01,42.055,84085,False,False,41.484219771098665,37.90782269601142,37.13571541566736,0.0005312148963863006
