,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
2020-08-04 19:45:00,69.94,70.42,69.82,70.04,20079,False,False,70.04,70.04,70.04,
2020-08-05 13:30:00,69.76,70.97,69.69,70.77,6217,False,False,70.28333333333333,70.05445544554456,70.04291417165669,4.1607248096653386e-05
2020-08-05 13:45:00,70.63,70.98,70.63,70.91,8894,False,False,70.49222222222222,70.07139692187039,70.04637559212911,4.941856736473405e-05
2020-08-05 14:00:00,71.28,71.49,70.835,71.04,2608,False,False,70.67481481481481,70.09057718084328,70.0503421566316,5.662769085401642e-05
2020-08-05 14:15:00,70.835,70.835,70.37,70.42,4324,False,False,70.58987654320988,70.09710040498499,70.05181783664504,2.1065992942048695e-05
2020-08-05 14:30:00,70.595,71.55,70.565,71.36,9140,False,False,70.84658436213992,70.12210831775757,70.05704012073029,7.454887319879866e-05
2020-08-05 14:45:00,71.505,71.535,71.175,71.38,3045,False,False,71.02438957475995,70.14701706394058,70.06232139769344,7.53853853094899e-05
2020-08-05 15:00:00,71.35,71.39,70.96,71.03,1597,False,False,71.02625971650664,70.16450187455561,70.0661843861258,5.5136460729521275e-05
2020-08-05 15:15:00,71.02,71.07,70.88,70.94,2147,False,False,70.9975064776711,70.17985827307926,70.06967267200953,4.978558364920893e-05
2020-08-05 15:30:00,71.02,71.225,70.97,70.97,2104,False,False,70.98833765178074,70.19550464390937,70.07326679307936,5.129353303323647e-05
2020-08-05 15:45:00,71.05,71.055,71.02,71.055,636,False,False,71.0105584345205,70.21252435393096,70.07718588771776,5.592852763625089e-05
2020-08-05 16:00:00,70.965,71.27,70.965,71.04,987,False,False,71.02037228968035,70.22891001028876,70.08102945702828,5.484765493690702e-05
2020-08-05 16:15:00,71.0,71.02,70.72,70.72,2489,False,False,70.92024819312023,70.23863456454046,70.08358023763896,3.639759048112978e-05
2020-08-05 16:30:00,70.92,71.01,70.86,70.91,1301,False,False,70.91683212874682,70.25192892959906,70.08687931852661,4.707352102273354e-05
2020-08-05 16:45:00,70.935,70.99,70.84,70.99,1108,False,False,70.94122141916455,70.26654419831988,70.09048459070814,5.1440044364747806e-05
2020-08-05 17:00:00,71.0,71.26,71.0,71.26,1742,False,False,71.0474809461097,70.28621659043235,70.09515331489693,6.660995734364406e-05
2020-08-05 17:15:00,71.34,71.34,71.13,71.22,886,False,False,71.10498729740647,70.30470735101785,70.0996437208255,6.406157510485677e-05
2020-08-05 17:30:00,71.21,71.27,71.07,71.15,1369,False,False,71.11999153160431,70.32144581931453,70.10383675986412,5.981541154942427e-05
2020-08-05 17:45:00,71.19,71.2,71.015,71.015,3059,False,False,71.08499435440288,70.33517956546672,70.10747413806827,5.188557962387818e-05
2020-08-05 18:00:00,71.095,71.17,70.995,70.995,3336,False,False,71.0549962362686,70.34824531664559,70.11101715548116,5.05369428360769e-05
2020-08-05 18:15:00,71.045,71.215,71.04,71.19,4154,False,False,71.09999749084574,70.36491372621697,70.11532447222575,6.143566188798744e-05
2020-08-05 18:30:00,71.21,71.37,71.21,71.29,2350,False,False,71.16333166056384,70.38323226629187,70.12001379568991,6.688015065847708e-05
2020-08-05 18:45:00,71.395,71.66,71.32,71.66,2728,False,False,71.32888777370923,70.40851479567223,70.12616144520813,8.767325026659556e-05
2020-08-05 19:00:00,71.64,71.66,71.22,71.22,3139,False,False,71.29259184913948,70.4245838096193,70.13052806618535,6.22680735296033e-05
2020-08-05 19:15:00,71.24,71.255,71.02,71.17,2091,False,False,71.25172789942633,70.43934452626051,70.13467765474348,5.9169503960010423e-05
2020-08-05 19:30:00,71.15,71.205,71.01,71.07,1991,False,False,71.19115193295089,70.45183275346328,70.13841147648104,5.323788263389418e-05
2020-08-05 19:45:00,71.07,71.19,70.9,71.16,5764,False,False,71.1807679553006,70.46585586725608,70.1424896741797,5.814499662637474e-05
2020-08-06 13:30:00,71.67,72.06,71.205,71.595,19435,False,False,71.31884530353373,70.48821515701339,70.14828811859417,8.26666467270698e-05
2020-08-06 13:45:00,71.43,71.44,70.8,71.14,16019,False,False,71.25923020235581,70.50112178756756,70.15224704826046,5.643658273757346e-05
2020-08-06 14:00:00,71.16,71.49,71.07,71.44,2063,False,False,71.31948680157055,70.5197134353385,70.15738777860673,7.327962485259576e-05
2020-08-06 14:15:00,71.37,71.37,71.055,71.185,7175,False,False,71.2746578677137,70.53288742671793,70.16149002300351,5.847202307074362e-05
2020-08-06 14:30:00,71.115,71.12,70.35,70.4,9878,False,False,70.98310524514247,70.5302559925255,70.16244215864022,1.3570630218895374e-05
2020-08-06 14:45:00,70.515,70.95,70.38,70.8,13992,False,False,70.92207016342832,70.53559745802005,70.16498729972348,3.627497853497808e-05
2020-08-06 15:00:00,70.59,71.2,70.59,71.13,1621,False,False,70.99138010895221,70.54736780538597,70.16883964583239,5.490410897457387e-05
2020-08-06 15:15:00,70.995,71.145,70.995,71.04,941,False,False,71.00758673930147,70.55712289834862,70.17231733187697,4.956168667091809e-05
2020-08-06 15:30:00,71.04,71.04,70.525,70.615,1500,False,False,70.87672449286767,70.55826897956945,70.17408452815691,2.5183667108796826e-05
2020-08-06 15:45:00,70.76,70.84,70.76,70.84,782,False,False,70.86448299524511,70.56384781165718,70.17674287335389,3.788215001088169e-05
