,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Open,High,Low,Close,Volume,flagLong,flagShort,Short,Middle,Long,LongChange
0,1,2,3,4,2020-09-16 19:00:00,8.195,8.195,8.195,8.195,141,False,False,8.195,8.195,8.195,
1,2,3,4,5,2020-09-16 19:01:00,8.19,8.195,8.19,8.19,536,False,False,8.193333333333333,8.194900990099011,8.194980039920159,-2.4356412252624082e-06
2,3,4,5,6,2020-09-16 19:02:00,8.19,8.19,8.155,8.155,852,False,False,8.180555555555555,8.194110871483188,8.194820438962394,-1.9475454117956478e-05
3,4,5,6,7,2020-09-16 19:03:00,8.165,8.165,8.135,8.14,425,False,False,8.167037037037037,8.19303936907758,8.19460159489468,-2.670516936198464e-05
4,5,6,7,8,2020-09-16 19:04:00,8.155,8.155,8.135,8.14,1001,False,False,8.158024691358026,8.191989084541389,8.194383624455979,-2.659927223758185e-05
5,6,7,8,9,2020-09-16 19:05:00,8.135,8.135,8.065,8.07,10998,False,False,8.128683127572017,8.189573459104926,8.193887083040984,-6.059533428637299e-05
6,7,8,9,2020-09-16 19:10:00,,8.1,8.1,8.09,8.09,1060,False,False,8.115788751714678,8.187601707439482,8.19347236414661,-5.061320593890972e-05
7,8,9,2020-09-16 19:15:00,,,7.935,7.995,7.935,7.995,1324,False,False,8.075525834476451,8.183787812242661,8.192680059299716,-9.669952026203354e-05
8,9,2020-09-16 19:20:00,,,,8.075,8.075,8.04,8.055,608,False,False,8.06868388965097,8.181237558534884,8.192130438304508,-6.708683742440158e-05
9,2020-09-16 19:24:00,,,,,8.2,8.21,8.19,8.2,1951,False,True,8.11245592643398,8.181609092029243,8.192161853720458,3.834828581794625e-06
